datum,cases_TI,diff_cases_TI,diff_2_cases_TI,cases_FR,diff_cases_FR,diff_2_cases_FR,cases_NE,diff_cases_NE,diff_2_cases_NE,cases_GE,diff_cases_GE,diff_2_cases_GE,cases_VD,diff_cases_VD,diff_2_cases_VD,cases_JU,diff_cases_JU,diff_2_cases_JU,cases_GR,diff_cases_GR,diff_2_cases_GR,cases_VS,diff_cases_VS,diff_2_cases_VS,hosp_JU,diff_hosp_JU,diff_2_hosp_JU,hosp_TI,diff_hosp_TI,diff_2_hosp_TI,hosp_VD,diff_hosp_VD,diff_2_hosp_VD,hosp_VS,diff_hosp_VS,diff_2_hosp_VS,hosp_FR,diff_hosp_FR,diff_2_hosp_FR,hosp_NE,diff_hosp_NE,diff_2_hosp_NE,hosp_GE,diff_hosp_GE,diff_2_hosp_GE,hosp_GR,diff_hosp_GR,diff_2_hosp_GR,test_GR,diff_test_GR,diff_2_test_GR,test_VD,diff_test_VD,diff_2_test_VD,test_JU,diff_test_JU,diff_2_test_JU,test_FR,diff_test_FR,diff_2_test_FR,test_VS,diff_test_VS,diff_2_test_VS,test_TI,diff_test_TI,diff_2_test_TI,test_NE,diff_test_NE,diff_2_test_NE,test_GE,diff_test_GE,diff_2_test_GE,vac_all
2020-09-10,3.4285714285714284,0.0,0.8571428571428571,35.285714285714285,1.2857142857142858,-3.0,8.142857142857142,0.0,0.8571428571428571,44.0,-1.8571428571428572,-1.0,124.14285714285714,8.714285714285714,15.428571428571429,2.142857142857143,0.2857142857142857,0.2857142857142857,4.714285714285714,0.42857142857142855,1.0,8.571428571428571,-0.5714285714285714,-1.7142857142857142,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,2.7142857142857144,0.0,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.0,2.2857142857142856,0.8571428571428571,1.5714285714285714,0.42857142857142855,-0.14285714285714285,-0.14285714285714285,1.4285714285714286,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,252.57142857142858,6.0,8.714285714285714,1899.857142857143,98.42857142857143,192.57142857142858,82.14285714285714,-0.7142857142857143,-7.0,466.14285714285717,22.428571428571427,38.0,446.14285714285717,11.714285714285714,1.2857142857142858,369.2857142857143,24.0,40.714285714285715,249.42857142857142,-6.428571428571429,2.4285714285714284,1084.857142857143,-19.142857142857142,9.714285714285714,0.0
2020-09-11,3.857142857142857,0.42857142857142855,0.42857142857142855,34.285714285714285,-1.0,0.2857142857142857,10.714285714285714,2.5714285714285716,2.5714285714285716,46.42857142857143,2.4285714285714284,0.5714285714285714,130.14285714285714,6.0,14.714285714285714,1.7142857142857142,-0.42857142857142855,-0.14285714285714285,4.857142857142857,0.14285714285714285,0.5714285714285714,8.0,-0.5714285714285714,-1.1428571428571428,0.14285714285714285,-0.14285714285714285,-0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,2.857142857142857,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.2857142857142857,2.4285714285714284,0.14285714285714285,1.0,0.42857142857142855,0.0,-0.14285714285714285,1.0,-0.42857142857142855,0.0,0.0,0.0,0.0,250.42857142857142,-2.142857142857143,3.857142857142857,1960.2857142857142,60.42857142857143,158.85714285714286,79.0,-3.142857142857143,-3.857142857142857,492.2857142857143,26.142857142857142,48.57142857142857,449.2857142857143,3.142857142857143,14.857142857142858,387.57142857142856,18.285714285714285,42.285714285714285,240.42857142857142,-9.0,-15.428571428571429,1064.7142857142858,-20.142857142857142,-39.285714285714285,0.0
2020-09-12,4.0,0.14285714285714285,0.5714285714285714,32.42857142857143,-1.8571428571428572,-2.857142857142857,10.571428571428571,-0.14285714285714285,2.4285714285714284,46.57142857142857,0.14285714285714285,2.5714285714285716,129.14285714285714,-1.0,5.0,1.5714285714285714,-0.14285714285714285,-0.5714285714285714,4.571428571428571,-0.2857142857142857,-0.14285714285714285,8.285714285714286,0.2857142857142857,-0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,3.142857142857143,0.2857142857142857,0.42857142857142855,1.1428571428571428,0.42857142857142855,0.5714285714285714,2.2857142857142856,-0.14285714285714285,0.0,0.2857142857142857,-0.14285714285714285,-0.14285714285714285,0.8571428571428571,-0.14285714285714285,-0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,247.71428571428572,-2.7142857142857144,-4.857142857142857,2019.2857142857142,59.0,119.42857142857143,73.42857142857143,-5.571428571428571,-8.714285714285714,486.2857142857143,-6.0,20.142857142857142,445.42857142857144,-3.857142857142857,-0.7142857142857143,380.85714285714283,-6.714285714285714,11.571428571428571,250.85714285714286,10.428571428571429,1.4285714285714286,1129.5714285714287,64.85714285714286,44.714285714285715,0.0
2020-09-13,4.0,0.0,0.14285714285714285,33.285714285714285,0.8571428571428571,-1.0,9.714285714285714,-0.8571428571428571,-1.0,49.42857142857143,2.857142857142857,3.0,135.42857142857142,6.285714285714286,5.285714285714286,1.5714285714285714,0.0,-0.14285714285714285,4.857142857142857,0.2857142857142857,0.0,9.0,0.7142857142857143,1.0,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,3.4285714285714284,0.2857142857142857,0.5714285714285714,1.1428571428571428,0.0,0.42857142857142855,2.142857142857143,-0.14285714285714285,-0.2857142857142857,0.2857142857142857,0.0,-0.14285714285714285,1.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,251.57142857142858,3.857142857142857,1.1428571428571428,2062.4285714285716,43.142857142857146,102.14285714285714,74.28571428571429,0.8571428571428571,-4.714285714285714,490.14285714285717,3.857142857142857,-2.142857142857143,442.14285714285717,-3.2857142857142856,-7.142857142857143,377.14285714285717,-3.7142857142857144,-10.428571428571429,249.28571428571428,-1.5714285714285714,8.857142857142858,1105.7142857142858,-23.857142857142858,41.0,0.0
2020-09-14,4.285714285714286,0.2857142857142857,0.2857142857142857,29.0,-4.285714285714286,-3.4285714285714284,9.428571428571429,-0.2857142857142857,-1.1428571428571428,52.0,2.5714285714285716,5.428571428571429,137.0,1.5714285714285714,7.857142857142857,1.7142857142857142,0.14285714285714285,0.14285714285714285,4.714285714285714,-0.14285714285714285,0.14285714285714285,10.428571428571429,1.4285714285714286,2.142857142857143,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,3.142857142857143,-0.2857142857142857,0.0,1.0,-0.14285714285714285,-0.14285714285714285,2.142857142857143,0.0,-0.14285714285714285,0.2857142857142857,0.0,0.0,1.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,241.71428571428572,-9.857142857142858,-6.0,2071.5714285714284,9.142857142857142,52.285714285714285,74.28571428571429,0.0,0.8571428571428571,517.5714285714286,27.428571428571427,31.285714285714285,436.85714285714283,-5.285714285714286,-8.571428571428571,411.85714285714283,34.714285714285715,31.0,258.42857142857144,9.142857142857142,7.571428571428571,1127.142857142857,21.428571428571427,-2.4285714285714284,0.0
2020-09-15,4.428571428571429,0.14285714285714285,0.42857142857142855,26.0,-3.0,-7.285714285714286,9.428571428571429,0.0,-0.2857142857142857,54.142857142857146,2.142857142857143,4.714285714285714,143.28571428571428,6.285714285714286,7.857142857142857,1.5714285714285714,-0.14285714285714285,0.0,4.285714285714286,-0.42857142857142855,-0.5714285714285714,10.285714285714286,-0.14285714285714285,1.2857142857142858,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,3.142857142857143,0.0,-0.2857142857142857,1.0,0.0,-0.14285714285714285,2.0,-0.14285714285714285,-0.14285714285714285,0.2857142857142857,0.0,0.0,1.0,0.0,0.0,0.14285714285714285,0.0,0.0,239.71428571428572,-2.0,-11.857142857142858,2072.8571428571427,1.2857142857142858,10.428571428571429,75.14285714285714,0.8571428571428571,0.8571428571428571,510.57142857142856,-7.0,20.428571428571427,417.85714285714283,-19.0,-24.285714285714285,441.7142857142857,29.857142857142858,64.57142857142857,249.0,-9.428571428571429,-0.2857142857142857,1188.2857142857142,61.142857142857146,82.57142857142857,0.0
2020-09-16,4.285714285714286,-0.14285714285714285,0.0,26.142857142857142,0.14285714285714285,-2.857142857142857,8.857142857142858,-0.5714285714285714,-0.5714285714285714,55.57142857142857,1.4285714285714286,3.5714285714285716,143.0,-0.2857142857142857,6.0,1.2857142857142858,-0.2857142857142857,-0.42857142857142855,3.5714285714285716,-0.7142857142857143,-1.1428571428571428,12.285714285714286,2.0,1.8571428571428572,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,4.0,0.8571428571428571,0.8571428571428571,1.1428571428571428,0.14285714285714285,0.14285714285714285,1.5714285714285714,-0.42857142857142855,-0.5714285714285714,0.2857142857142857,0.0,0.0,1.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,226.14285714285714,-13.571428571428571,-15.571428571428571,2074.0,1.1428571428571428,2.4285714285714284,77.85714285714286,2.7142857142857144,3.5714285714285716,514.4285714285714,3.857142857142857,-3.142857142857143,405.14285714285717,-12.714285714285714,-31.714285714285715,445.14285714285717,3.4285714285714284,33.285714285714285,239.28571428571428,-9.714285714285714,-19.142857142857142,1219.4285714285713,31.142857142857142,92.28571428571429,0.0
2020-09-17,4.571428571428571,0.2857142857142857,0.14285714285714285,23.428571428571427,-2.7142857142857144,-2.5714285714285716,8.285714285714286,-0.5714285714285714,-1.1428571428571428,57.57142857142857,2.0,3.4285714285714284,142.14285714285714,-0.8571428571428571,-1.1428571428571428,1.2857142857142858,0.0,-0.2857142857142857,3.142857142857143,-0.42857142857142855,-1.1428571428571428,14.0,1.7142857142857142,3.7142857142857144,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,3.4285714285714284,-0.5714285714285714,0.2857142857142857,1.1428571428571428,0.0,0.14285714285714285,0.8571428571428571,-0.7142857142857143,-1.1428571428571428,0.2857142857142857,0.0,0.0,0.7142857142857143,-0.2857142857142857,-0.2857142857142857,0.5714285714285714,0.14285714285714285,0.42857142857142855,215.42857142857142,-10.714285714285714,-24.285714285714285,2093.0,19.0,20.142857142857142,74.42857142857143,-3.4285714285714284,-0.7142857142857143,510.85714285714283,-3.5714285714285716,0.2857142857142857,394.57142857142856,-10.571428571428571,-23.285714285714285,456.57142857142856,11.428571428571429,14.857142857142858,236.14285714285714,-3.142857142857143,-12.857142857142858,1306.5714285714287,87.14285714285714,118.28571428571429,0.0
2020-09-18,4.428571428571429,-0.14285714285714285,0.14285714285714285,23.0,-0.42857142857142855,-3.142857142857143,6.142857142857143,-2.142857142857143,-2.7142857142857144,58.57142857142857,1.0,3.0,133.28571428571428,-8.857142857142858,-9.714285714285714,1.4285714285714286,0.14285714285714285,0.14285714285714285,2.5714285714285716,-0.5714285714285714,-1.0,14.285714285714286,0.2857142857142857,2.0,0.2857142857142857,0.0,0.0,0.0,-0.14285714285714285,-0.14285714285714285,3.5714285714285716,0.14285714285714285,-0.42857142857142855,1.5714285714285714,0.42857142857142855,0.42857142857142855,0.5714285714285714,-0.2857142857142857,-1.0,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.0,-0.2857142857142857,0.5714285714285714,0.0,0.14285714285714285,211.42857142857142,-4.0,-14.714285714285714,2096.4285714285716,3.4285714285714284,22.428571428571427,75.28571428571429,0.8571428571428571,-2.5714285714285716,518.0,7.142857142857143,3.5714285714285716,382.57142857142856,-12.0,-22.571428571428573,453.0,-3.5714285714285716,7.857142857142857,236.57142857142858,0.42857142857142855,-2.7142857142857144,1361.857142857143,55.285714285714285,142.42857142857142,0.0
2020-09-19,4.285714285714286,-0.14285714285714285,-0.2857142857142857,22.428571428571427,-0.5714285714285714,-1.0,6.857142857142857,0.7142857142857143,-1.4285714285714286,59.57142857142857,1.0,2.0,132.0,-1.2857142857142858,-10.142857142857142,1.7142857142857142,0.2857142857142857,0.42857142857142855,2.5714285714285716,0.0,-0.5714285714285714,13.571428571428571,-0.7142857142857143,-0.42857142857142855,0.14285714285714285,-0.14285714285714285,-0.14285714285714285,0.0,0.0,-0.14285714285714285,3.7142857142857144,0.14285714285714285,0.2857142857142857,1.2857142857142858,-0.2857142857142857,0.14285714285714285,0.5714285714285714,0.0,-0.2857142857142857,0.5714285714285714,0.0,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.42857142857142855,-0.14285714285714285,-0.14285714285714285,203.14285714285714,-8.285714285714286,-12.285714285714286,2038.857142857143,-57.57142857142857,-54.142857142857146,74.71428571428571,-0.5714285714285714,0.2857142857142857,505.85714285714283,-12.142857142857142,-5.0,378.2857142857143,-4.285714285714286,-16.285714285714285,455.57142857142856,2.5714285714285716,-1.0,216.57142857142858,-20.0,-19.571428571428573,1300.5714285714287,-61.285714285714285,-6.0,0.0
